country_name;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;iso2
Benin;226195578.4;235668220.5;236434954.0;253927697.3;269819005.9;289908680.4;302925235.2;306221953.1;326323105.3;330748244.5;333627713.5;335073027.5;410331857.0;504376074.2;554654860.7;676870140.3;698408261.9;750049778.8;928843469.4;1186231019.8;1405251846.5;1291120188.4;1267778670.4;1095348199.4;1051134008.8;1045712789.1;1336102025.3;1562412227.9;1620246083.8;1502294416.2;1959965330.1;1986437796.5;1695315305.7;2274558082.8;1598075943.9;2169627137.9;2361116449.4;2268301646.5;2455092686.3;3677393998.7;3519991440.5;3666222635.1;4194342686.2;5349258094.5;6190270380.5;6567654954.4;7034111314.9;8169048382.8;9787734526.2;9738626517.0;9535345015.8;10693321363.7;11141358115.9;12517845123.9;13284527846.9;11388160997.1;11821065852.1;12701655846.0;14262408079.7;14390708757.0;15686741893.5;17687623534.7;17396792699.5;BJ
Bermuda;84466652.6;89249985.1;94149984.3;96366650.6;107566648.7;114339050.3;134173375.3;155102980.1;150000000.0;164900000.0;186300000.0;211100000.0;235400000.0;269500000.0;312600000.0;345000000.0;386300000.0;447000000.0;475800000.0;517200000.0;613299968.0;739100032.0;785500032.0;889400000.0;985699968.0;1039500032.0;1173500032.0;1296499968.0;1415100032.0;1501500032.0;1592400000.0;1634900000.0;1679900000.0;1820359900.0;1867160100.0;2030750000.0;2695390000.0;2932827000.0;3130748000.0;3324433000.0;3480219000.0;3680483000.0;3937228000.0;4186525000.0;4484703000.0;4868136000.0;6144000000.0;6767000000.0;6980000000.0;6656000000.0;6634526000.0;6312691000.0;6378188000.0;6465756000.0;6413988000.0;6654541000.0;6899911000.0;7142316000.0;7225977000.0;7423465000.0;6887147000.0;7127200000.0;7546000000.0;BM
Bhutan;;;;;;;;;;;;;;;;;;;;;128669200.9;139174178.1;141439317.4;156704289.9;160423494.0;163288815.3;191218115.5;242742766.4;272298066.5;264798626.2;287765007.1;240294286.0;240233531.2;225973692.8;258954708.0;290490983.8;303408345.6;352229076.7;363458380.9;399311199.5;424448931.0;461479581.8;520846133.5;603999374.5;682577068.5;796938572.0;874989741.1;1168307584.2;1227809270.4;1234015133.1;1547990911.6;1777102573.2;1781280181.6;1756214316.4;1907090376.0;2003596838.8;2158971711.3;2591358114.5;2583335723.8;2735683408.7;2457604042.8;2768003872.5;;BT
Bolivia;373250000.0;406000000.0;443916666.7;478000000.0;538583333.3;598333333.3;662500000.0;748250000.0;849333333.3;920333333.3;1006833333.3;1084666666.7;1286153846.2;1263600000.0;2101300000.0;2405900000.0;2733350000.0;3229050000.0;3760100000.0;4510500000.0;4450368036.7;5778487836.5;5600385567.8;5414008064.0;6169304491.5;5377276656.9;3959383519.8;4347956337.8;4597611710.0;4715973437.4;4867582597.5;5343262457.1;5643868748.7;5734699488.8;5981222858.8;6715161732.2;7396949126.4;7925736821.5;8497494652.1;8285064434.6;8397855484.8;8141516928.4;7905485146.4;8082399639.5;8773451751.5;9549122905.3;11451844902.2;13120108008.3;16674276285.9;17339992193.7;19649723722.1;23963164696.6;27084497481.9;30659338885.7;32996188017.4;33000198248.9;33941126193.9;37508642170.8;40287647930.5;40895322850.9;36629843806.1;40406111695.2;44008282878.0;BO
Bosnia and Herzegovina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1255802469.1;1866572953.7;2786045321.6;3671909673.0;4116774300.6;4686256363.0;5567772768.8;5800615466.3;6728220886.6;8498894359.4;10156541538.4;11222796336.5;12864841906.0;15778734264.4;19112796623.1;17613949091.2;17176315803.7;18644233537.1;17226735995.7;18179108530.5;18558733564.5;16404348871.4;17116926327.6;18326373366.1;20484053868.9;20482608755.4;20226036564.4;23649568276.8;24473906673.7;BA
Botswana;30411413.7;32902612.9;35644956.6;38091842.9;41616347.8;45788696.3;51465655.4;58642354.1;66248441.4;77361546.5;96243233.7;127448613.5;164460915.0;244124164.0;306044207.5;355168571.5;372025093.0;451624780.3;590407374.4;819870258.8;1060889703.8;1073812830.3;1014945695.7;1172230396.6;1240822167.4;1114783342.7;1392602163.5;1965226890.0;2644554158.7;3083822112.0;3790636324.4;3942876703.5;4146464586.6;4160129174.7;4259259604.2;4730599121.9;4847757217.8;5020265626.7;4790481509.2;5484263346.9;5788329609.2;5489608299.7;5438863982.9;7511582173.4;8957467706.5;9918907108.1;9919158482.4;10567270655.5;10730829116.4;10118459242.3;12637273429.1;15110643612.2;13907464500.1;14271738933.2;15470088500.7;13530748844.5;15082636722.9;16105156375.5;17031943186.1;16725908666.8;14960291541.2;18737066311.2;20355541962.9;BW
Brazil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;425595310393.5;461951781818.2;407337837837.8;390590371724.6;438302216833.0;546229749726.3;769333050986.9;850426432991.7;883206179730.5;863710759256.4;599642024319.5;655448231983.5;559983634799.0;509795273806.7;558233745651.9;669289424806.3;891633839853.1;1107626541710.7;1397114486471.4;1695855083552.1;1666996438681.5;2208837745214.2;2616156223977.5;2465227803011.6;2472819535742.7;2456043727198.9;1802212206904.7;1795693482652.5;2063514977334.3;1916933898038.4;1873288205186.5;1476107231194.1;1649622821885.1;1920095779022.7;BR
British Virgin Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;VG
Brunei Darussalam;;;;;;114039500.6;132757528.0;139029537.2;160818235.9;161210236.4;179078929.3;197525767.8;270822782.0;433095526.7;1073591624.0;1168304305.7;1423037167.1;1732721160.9;1941579358.2;2803834158.5;4928806542.8;4366230382.8;4264202521.0;3844632166.8;3782553234.0;3523532486.4;2358574402.6;2754485672.5;2690684124.9;2985532273.2;3520487627.0;3701774188.9;4183632940.4;4105729020.6;4087220218.9;4734103536.5;5115454089.6;5197311972.1;4051142386.3;4600116699.1;6001282104.1;5601018684.2;5843368267.9;6557397070.2;7872202803.4;9531420027.8;11470464771.0;12247677993.9;14393434224.8;10732595016.1;13707280260.0;18525128526.4;19048443340.8;18094321616.8;17097802752.9;12930291488.0;11400466356.4;12128183904.5;13566937673.8;13469235364.7;12005799654.0;14006496617.4;16681536466.7;BN
Bulgaria;;;;;;;;;;;;;;;;;;;;;19839230769.2;19870000000.0;19342000000.0;16563666666.7;17594944444.4;17155421052.6;20249294117.6;28101000000.0;22555941176.5;21988444444.4;20632090909.1;10943548387.1;10350515463.9;10832064941.7;9697416974.2;18991484420.4;12294964837.6;11316127379.0;15031055046.8;13627325461.2;13245990274.5;14183446025.7;16403043849.8;21144957990.5;26157743368.9;29868657858.0;34380536495.7;44432811756.5;54480684188.4;52023801230.1;50760929302.5;57737040780.0;54288135058.8;55852123990.0;57157782909.9;50811995688.7;53964253211.8;59309748166.1;66370132238.4;68881010245.5;70368758395.1;84041493015.7;90346169914.9;BG
