Athlete,Nat,Gold,Silver,Bronze,Total
Ralph Rose,USA,3,2,1,6
Halvard Hanevold,NOR,3,2,1,6
Natasa Dusev-Janics,HUN SCG,3,2,1,6
Vegard Ulvang,NOR,3,2,1,6
Yuliya Chepalova,RUS,3,2,1,6
Sun Yang,CHN,3,2,1,6
Tarjei Bø,NOR,3,2,1,6
Aly Raisman,USA,3,2,1,6
Ramona Portwich,GDR GER,3,2,0,5
András Balczó,HUN,3,2,0,5
Jack Beresford,GBR,3,2,0,5
Ralf Schumann,GDR GER,3,2,0,5
Klaus Dibiasi,ITA,3,2,0,5
Josh Davis,USA,3,2,0,5
Duke Kahanamoku,USA,3,2,0,5
Pablo Morales,USA,3,2,0,5
Florence Griffith Joyner,USA,3,2,0,5
Georg Hackl,GER FRG,3,2,0,5
Yang Wei,CHN,3,2,0,5
Alberto Tomba,ITA,3,2,0,5
Samppa Lajunen,FIN,3,2,0,5
Scott Moir,CAN,3,2,0,5
Tessa Virtue,CAN,3,2,0,5
Adam Peaty,GBR,3,2,0,5
Choi Min-Jeong,KOR,3,2,0,5
Simona Amânar,ROU,3,1,3,7
Shirley Strickland de la Hunty,AUS,3,1,3,7
Felix Gottwald,AUT,3,1,3,7
Konrad Frey,GER,3,1,2,6
Alfred Schwarzmann,GER FRG,3,1,2,6
Leon Štukelj,SLO YUG,3,1,2,6
Oscar Swahn,SWE,3,1,2,6
Kim Rhode,USA,3,1,2,6
Jackie Joyner-Kersee,USA,3,1,2,6
Johan Grøttumsbraaten,NOR,3,1,2,6
Brendan Hansen,USA,3,1,2,6
Charlotte Dujardin,GBR,3,1,2,6
Suzanne Schulting,NED,3,1,2,6
Kay Bluhm,GDR GER,3,1,1,5
Andreas Dittmer,GER,3,1,1,5
Antonio Rossi,ITA,3,1,1,5
Paul MacDonald,NZL,3,1,1,5
Daniel Morelon,FRA,3,1,1,5
Galina Gorokhova,RUS URS,3,1,1,5
Giancarlo Cornaggia-Medici,ITA,3,1,1,5
