Place,Pays,Or,Argent,Bronze,Total,Lieu,Annee
1,Etats Unis,38,41,34,113,Tokyo,2021
2,Chine,36,32,18,86,Tokyo,2021
3,Japon,27,12,16,55,Tokyo,2021
4,Grande Bretagne,22,21,22,65,Tokyo,2021
5,Russie,20,28,23,71,Tokyo,2021
6,Australie,17,7,21,45,Tokyo,2021
7,Pays-Bas,10,12,14,36,Tokyo,2021
8,France,10,12,11,33,Tokyo,2021
9,Italie,10,10,20,40,Tokyo,2021
10,Allemagne,10,10,16,36,Tokyo,2021
11,Canada,7,6,11,24,Tokyo,2021
12,Brésil,7,6,8,21,Tokyo,2021
13,Nouvelle-Zélande,7,6,7,20,Tokyo,2021
14,Cuba,7,3,5,15,Tokyo,2021
15,Hongrie,6,7,7,20,Tokyo,2021
16,Corée du Sud,6,4,10,20,Tokyo,2021
17,Pologne,4,5,5,14,Tokyo,2021
18,République Tchèque,4,5,3,12,Tokyo,2021
19,Kenya,4,4,2,10,Tokyo,2021
20,Norvège,4,2,2,8,Tokyo,2021
21,Jamaïque,4,1,4,9,Tokyo,2021
22,Espagne,3,8,6,17,Tokyo,2021
23,Suède,3,6,0,9,Tokyo,2021
24,Suisse,3,4,6,13,Tokyo,2021
25,Danemark,3,4,4,11,Tokyo,2021
26,Croatie,3,3,2,8,Tokyo,2021
27,Iran,3,2,2,7,Tokyo,2021
28,Serbie,3,1,5,9,Tokyo,2021
29,Belgique,3,1,3,7,Tokyo,2021
30,Slovénie,3,1,1,5,Tokyo,2021
31,Ouzbékistan,3,0,2,5,Tokyo,2021
32,Géorgie,2,5,1,8,Tokyo,2021
33,Taïwan,2,4,6,12,Tokyo,2021
34,Turquie,2,2,9,13,Tokyo,2021
35,Bulgarie,2,1,2,5,Tokyo,2021
36,Grèce,2,1,1,4,Tokyo,2021
36,Ouganda,2,1,1,4,Tokyo,2021
38,Equateur,2,1,0,3,Tokyo,2021
39,Irlande,2,0,2,4,Tokyo,2021
39,Israël,2,0,2,4,Tokyo,2021
41,Lettonie,2,0,1,3,Tokyo,2021
41,Qatar,2,0,1,3,Tokyo,2021
43,Bahamas,2,0,0,2,Tokyo,2021
43,Kosovo,2,0,0,2,Tokyo,2021
45,Ukraine,1,6,12,19,Tokyo,2021
46,Biélorussie,1,3,3,7,Tokyo,2021
47,Roumanie,1,3,0,4,Tokyo,2021
47,Venezuela,1,3,0,4,Tokyo,2021
49,Inde,1,2,4,7,Tokyo,2021
50,Hong-Kong,1,2,2,5,Tokyo,2021
51,Philippines,1,2,1,4,Tokyo,2021
51,Slovaquie,1,2,1,4,Tokyo,2021
53,Afrique du Sud,1,2,0,3,Tokyo,2021
54,Autriche,1,1,4,6,Tokyo,2021
54,Egypte,1,1,4,6,Tokyo,2021
56,Indonésie,1,1,3,5,Tokyo,2021
57,Ethiopie,1,1,2,4,Tokyo,2021
57,Portugal,1,1,2,4,Tokyo,2021
59,Tunisie,1,1,0,2,Tokyo,2021
60,Estonie,1,0,1,2,Tokyo,2021
60,Fidji,1,0,1,2,Tokyo,2021
60,Thaïlande,1,0,1,2,Tokyo,2021
63,Bermudes,1,0,0,1,Tokyo,2021
63,Maroc,1,0,0,1,Tokyo,2021
63,Porto Rico,1,0,0,1,Tokyo,2021
66,Colombie,0,4,1,5,Tokyo,2021
67,Azerbaïdjan,0,3,4,7,Tokyo,2021
68,République Dominicaine,0,3,2,5,Tokyo,2021
69,Arménie,0,2,2,4,Tokyo,2021
70,Kirghizistan,0,2,1,3,Tokyo,2021
71,Mongolie,0,1,3,4,Tokyo,2021
72,Argentine,0,1,2,3,Tokyo,2021
72,Saint-Marin,0,1,2,3,Tokyo,2021
74,Jordanie,0,1,1,2,Tokyo,2021
74,Malaisie,0,1,1,2,Tokyo,2021
74,Nigéria,0,1,1,2,Tokyo,2021
77,Arabie Saoudite,0,1,0,1,Tokyo,2021
77,Bahreïn,0,1,0,1,Tokyo,2021
77,Lituanie,0,1,0,1,Tokyo,2021
77,Macédoine du Nord,0,1,0,1,Tokyo,2021
77,Namibie,0,1,0,1,Tokyo,2021
77,Turkménistan,0,1,0,1,Tokyo,2021
83,Kazakhstan,0,0,8,8,Tokyo,2021
84,Mexique,0,0,4,4,Tokyo,2021
85,Finlande,0,0,2,2,Tokyo,2021
86,Botswana,0,0,1,1,Tokyo,2021
86,Burkina Faso,0,0,1,1,Tokyo,2021
86,CIO,0,0,1,1,Tokyo,2021
86,Côte d'Ivoire,0,0,1,1,Tokyo,2021
86,Ghana,0,0,1,1,Tokyo,2021
86,Grenade,0,0,1,1,Tokyo,2021
86,Moldavie,0,0,1,1,Tokyo,2021
86,Syrie,0,0,1,1,Tokyo,2021
1,Etats Unis,46,37,38,121,Rio de Janeiro,2016
2,Grande Bretagne,27,23,17,67,Rio de Janeiro,2016
3,Chine,26,18,26,70,Rio de Janeiro,2016
4,Russie,19,17,19,55,Rio de Janeiro,2016
5,Allemagne,17,10,15,42,Rio de Janeiro,2016
6,Japon,12,8,21,41,Rio de Janeiro,2016
7,France,10,18,14,42,Rio de Janeiro,2016
8,Corée du Sud,9,3,9,21,Rio de Janeiro,2016
9,Italie,8,12,8,28,Rio de Janeiro,2016
10,Australie,8,11,10,29,Rio de Janeiro,2016
11,Pays-Bas,8,7,4,19,Rio de Janeiro,2016
12,Hongrie,8,3,4,15,Rio de Janeiro,2016
13,Brésil,7,6,6,19,Rio de Janeiro,2016
14,Espagne,7,4,6,17,Rio de Janeiro,2016
15,Kenya,6,6,1,13,Rio de Janeiro,2016
16,Jamaïque,6,3,2,11,Rio de Janeiro,2016
17,Croatie,5,3,2,10,Rio de Janeiro,2016
18,Cuba,5,2,4,11,Rio de Janeiro,2016
19,Nouvelle-Zélande,4,9,5,18,Rio de Janeiro,2016
20,Canada,4,3,15,22,Rio de Janeiro,2016
21,Ouzbékistan,4,2,7,13,Rio de Janeiro,2016
22,Kazakhstan,3,5,10,18,Rio de Janeiro,2016
23,Colombie,3,2,3,8,Rio de Janeiro,2016
24,Suisse,3,2,2,7,Rio de Janeiro,2016
25,Iran,3,1,4,8,Rio de Janeiro,2016
26,Grèce,3,1,2,6,Rio de Janeiro,2016
27,Argentine,3,1,0,4,Rio de Janeiro,2016
28,Danemark,2,6,7,15,Rio de Janeiro,2016
29,Suède,2,6,3,11,Rio de Janeiro,2016
30,Afrique du Sud,2,6,2,10,Rio de Janeiro,2016
31,Ukraine,2,5,4,11,Rio de Janeiro,2016
32,Serbie,2,4,2,8,Rio de Janeiro,2016
33,Pologne,2,3,6,11,Rio de Janeiro,2016
34,Corée du Nord,2,3,2,7,Rio de Janeiro,2016
35,Belgique,2,2,2,6,Rio de Janeiro,2016
35,Thaïlande,2,2,2,6,Rio de Janeiro,2016
37,Slovaquie,2,2,0,4,Rio de Janeiro,2016
38,Géorgie,2,1,4,7,Rio de Janeiro,2016
39,Azerbaïdjan,1,7,10,18,Rio de Janeiro,2016
40,Biélorussie,1,4,4,9,Rio de Janeiro,2016
41,Turquie,1,3,4,8,Rio de Janeiro,2016
42,Arménie,1,3,0,4,Rio de Janeiro,2016
43,République Tchèque,1,2,7,10,Rio de Janeiro,2016
44,Ethiopie,1,2,5,8,Rio de Janeiro,2016
45,Slovénie,1,2,1,4,Rio de Janeiro,2016
46,Indonésie,1,2,0,3,Rio de Janeiro,2016
47,Roumanie,1,1,2,4,Rio de Janeiro,2016
48,Bahreïn,1,1,0,2,Rio de Janeiro,2016
48,Viêt Nam,1,1,0,2,Rio de Janeiro,2016
50,Taïwan,1,0,2,3,Rio de Janeiro,2016
51,Bahamas,1,0,1,2,Rio de Janeiro,2016
51,CIO,1,0,1,2,Rio de Janeiro,2016
51,Côte d'Ivoire,1,0,1,2,Rio de Janeiro,2016
54,Fidji,1,0,0,1,Rio de Janeiro,2016
54,Jordanie,1,0,0,1,Rio de Janeiro,2016
54,Kosovo,1,0,0,1,Rio de Janeiro,2016
54,Porto Rico,1,0,0,1,Rio de Janeiro,2016
54,Singapour,1,0,0,1,Rio de Janeiro,2016
54,Tadjikistan,1,0,0,1,Rio de Janeiro,2016
60,Malaisie,0,4,1,5,Rio de Janeiro,2016
61,Mexique,0,3,2,5,Rio de Janeiro,2016
62,Algérie,0,2,0,2,Rio de Janeiro,2016
62,Irlande,0,2,0,2,Rio de Janeiro,2016
64,Lituanie,0,1,3,4,Rio de Janeiro,2016
65,Bulgarie,0,1,2,3,Rio de Janeiro,2016
65,Venezuela,0,1,2,3,Rio de Janeiro,2016
67,Inde,0,1,1,2,Rio de Janeiro,2016
67,Mongolie,0,1,1,2,Rio de Janeiro,2016
69,Burundi,0,1,0,1,Rio de Janeiro,2016
69,Grenade,0,1,0,1,Rio de Janeiro,2016
69,Niger,0,1,0,1,Rio de Janeiro,2016
69,Philippines,0,1,0,1,Rio de Janeiro,2016
69,Qatar,0,1,0,1,Rio de Janeiro,2016
74,Norvège,0,0,4,4,Rio de Janeiro,2016
75,Egypte,0,0,3,3,Rio de Janeiro,2016
75,Tunisie,0,0,3,3,Rio de Janeiro,2016
77,Israël,0,0,2,2,Rio de Janeiro,2016
78,Autriche,0,0,1,1,Rio de Janeiro,2016
78,Emirats Arabes Unis,0,0,1,1,Rio de Janeiro,2016
78,Estonie,0,0,1,1,Rio de Janeiro,2016
78,Finlande,0,0,1,1,Rio de Janeiro,2016
78,Maroc,0,0,1,1,Rio de Janeiro,2016
78,Moldavie,0,0,1,1,Rio de Janeiro,2016
78,Nigéria,0,0,1,1,Rio de Janeiro,2016
78,Portugal,0,0,1,1,Rio de Janeiro,2016
78,République Dominicaine,0,0,1,1,Rio de Janeiro,2016
78,Trinité-et-Tobago,0,0,1,1,Rio de Janeiro,2016
1,Etats Unis,46,28,29,103,Londres,2012
2,Chine,38,27,24,89,Londres,2012
3,Grande Bretagne,29,17,19,65,Londres,2012
4,Russie,22,19,31,72,Londres,2012
5,Corée du Sud,13,9,8,30,Londres,2012
6,Allemagne,11,20,13,44,Londres,2012
7,France,11,11,13,35,Londres,2012
8,Italie,8,9,11,28,Londres,2012
9,Hongrie,8,4,6,18,Londres,2012
10,Australie,7,16,12,35,Londres,2012
11,Japon,7,14,17,38,Londres,2012
12,Pays-Bas,6,6,8,20,Londres,2012
13,Iran,6,5,2,13,Londres,2012
14,Nouvelle-Zélande,6,2,5,13,Londres,2012
15,Ukraine,5,4,10,19,Londres,2012
16,Cuba,5,3,6,14,Londres,2012
17,Espagne,4,10,4,18,Londres,2012
18,Jamaïque,4,5,3,12,Londres,2012
19,République Tchèque,4,3,3,10,Londres,2012
20,Corée du Nord,4,0,2,6,Londres,2012
21,Brésil,3,5,9,17,Londres,2012
22,Pologne,3,2,6,11,Londres,2012
23,Ethiopie,3,2,2,7,Londres,2012
24,Afrique du Sud,3,2,1,6,Londres,2012
25,Kazakhstan,3,1,6,10,Londres,2012
26,Croatie,3,1,2,6,Londres,2012
27,Canada,2,5,11,18,Londres,2012
28,Biélorussie,2,5,3,10,Londres,2012
29,Kenya,2,4,6,12,Londres,2012
30,Danemark,2,4,3,9,Londres,2012
31,Roumanie,2,4,1,7,Londres,2012
32,Azerbaïdjan,2,2,5,9,Londres,2012
33,Suisse,2,2,0,4,Londres,2012
34,Lituanie,2,1,2,5,Londres,2012
35,Norvège,2,1,1,4,Londres,2012
36,Tunisie,2,0,1,3,Londres,2012
37,Suède,1,4,3,8,Londres,2012
38,Colombie,1,3,4,8,Londres,2012
38,Mexique,1,3,4,8,Londres,2012
40,Géorgie,1,2,3,6,Londres,2012
41,Irlande,1,1,3,5,Londres,2012
42,Argentine,1,1,2,4,Londres,2012
42,Serbie,1,1,2,4,Londres,2012
42,Slovénie,1,1,2,4,Londres,2012
42,Trinité-et-Tobago,1,1,2,4,Londres,2012
46,Turquie,1,1,1,3,Londres,2012
47,République Dominicaine,1,1,0,2,Londres,2012
48,Ouzbékistan,1,0,3,4,Londres,2012
49,Lettonie,1,0,1,2,Londres,2012
49,Taïwan,1,0,1,2,Londres,2012
51,Algérie,1,0,0,1,Londres,2012
51,Bahamas,1,0,0,1,Londres,2012
51,Grenade,1,0,0,1,Londres,2012
51,Ouganda,1,0,0,1,Londres,2012
51,Venezuela,1,0,0,1,Londres,2012
56,Egypte,0,3,1,4,Londres,2012
57,Inde,0,2,4,6,Londres,2012
58,Mongolie,0,2,3,5,Londres,2012
59,Thaïlande,0,2,2,4,Londres,2012
60,Bulgarie,0,2,1,3,Londres,2012
61,Slovaquie,0,1,3,4,Londres,2012
62,Belgique,0,1,2,3,Londres,2012
62,Finlande,0,1,2,3,Londres,2012
62,Indonésie,0,1,2,3,Londres,2012
65,Arménie,0,1,1,2,Londres,2012
65,Estonie,0,1,1,2,Londres,2012
65,Malaisie,0,1,1,2,Londres,2012
65,Porto Rico,0,1,1,2,Londres,2012
69,Botswana,0,1,0,1,Londres,2012
69,Chypre,0,1,0,1,Londres,2012
69,Gabon,0,1,0,1,Londres,2012
69,Guatemala,0,1,0,1,Londres,2012
69,Monténégro,0,1,0,1,Londres,2012
69,Portugal,0,1,0,1,Londres,2012
75,Grèce,0,0,2,2,Londres,2012
75,Qatar,0,0,2,2,Londres,2012
75,Singapour,0,0,2,2,Londres,2012
78,Afghanistan,0,0,1,1,Londres,2012
78,Arabie Saoudite,0,0,1,1,Londres,2012
78,Bahreïn,0,0,1,1,Londres,2012
78,Cameroun,0,0,1,1,Londres,2012
78,Hong-Kong,0,0,1,1,Londres,2012
78,Maroc,0,0,1,1,Londres,2012
78,Tadjikistan,0,0,1,1,Londres,2012
78,Viêt Nam,0,0,1,1,Londres,2012
1,Chine,50,22,28,100,Pékin,2008
2,Etats Unis,36,39,39,114,Pékin,2008
3,Russie,23,15,23,61,Pékin,2008
4,Grande Bretagne,19,13,18,50,Pékin,2008
5,Corée du Sud,17,13,8,38,Pékin,2008
6,Allemagne,17,10,15,42,Pékin,2008
7,Australie,15,15,17,47,Pékin,2008
8,Japon,13,6,10,29,Pékin,2008
9,Italie,9,10,10,29,Pékin,2008
10,France,7,18,19,44,Pékin,2008
11,Pays-Bas,7,5,8,20,Pékin,2008
12,Ukraine,7,3,13,23,Pékin,2008
13,Kenya,6,4,4,14,Pékin,2008
14,Espagne,5,11,3,19,Pékin,2008
15,Jamaïque,5,4,1,10,Pékin,2008
16,Pologne,4,5,2,11,Pékin,2008
17,Géorgie,4,1,3,8,Pékin,2008
17,Roumanie,4,1,3,8,Pékin,2008
19,Ethiopie,4,1,2,7,Pékin,2008
20,Mexique,4,0,2,6,Pékin,2008
21,Canada,3,10,8,21,Pékin,2008
22,Cuba,3,9,19,31,Pékin,2008
23,Norvège,3,6,1,10,Pékin,2008
24,Hongrie,3,5,2,10,Pékin,2008
25,Brésil,3,4,13,20,Pékin,2008
26,Biélorussie,3,3,7,13,Pékin,2008
27,République Tchèque,3,3,0,6,Pékin,2008
28,Nouvelle-Zélande,3,2,4,9,Pékin,2008
29,Slovaquie,3,2,1,6,Pékin,2008
30,Mongolie,3,2,0,5,Pékin,2008
31,Thaïlande,2,3,2,7,Pékin,2008
32,Kazakhstan,2,2,7,11,Pékin,2008
33,Danemark,2,2,3,7,Pékin,2008
34,Corée du Nord,2,2,2,6,Pékin,2008
35,Suisse,2,1,5,8,Pékin,2008
36,Argentine,2,0,5,7,Pékin,2008
37,Iran,2,0,1,3,Pékin,2008
38,Belgique,2,0,0,2,Pékin,2008
39,Zimbabwe,1,3,0,4,Pékin,2008
40,Turquie,1,2,4,7,Pékin,2008
41,Slovénie,1,2,3,6,Pékin,2008
